TF	weighted_meanDifference	weighted_CD	TFBS	weighted_Tstat	variance	pvalue	Cohend_factor	pvalueAdj	median.cor.tfs	classification_q0.1	classification_q0.05	classification_q0.01	classification_q0.001	classification_distr_rawP	classification_q0.1_final	classification_q0.05_final	classification_q0.01_final	classification_q0.001_final
MA0002.2	0.0529	0.103	3459	NaN	NA	0.0769230769230769	2	0.0846848934198332	-0.000323024923352952	undetermined	undetermined	undetermined	undetermined	0.0615097537556405	undetermined	undetermined	undetermined	undetermined
MA0003.4	0.0425	0.121	16337	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.027523290712157	activator	undetermined	undetermined	undetermined	0.487768284692962	undetermined	undetermined	undetermined	undetermined
MA0007.3	0.0447	0.09	3541	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0310128045022241	undetermined	undetermined	undetermined	undetermined	0.0543528928393137	undetermined	undetermined	undetermined	undetermined
MA0009.2	-0.00487	0.0501	3653	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0360475661617157	undetermined	undetermined	undetermined	undetermined	0.995796796738855	undetermined	undetermined	undetermined	undetermined
MA0014.3	-0.0481	0.0969	9051	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.19581490486933	activator	activator	activator	activator	0.000000000000000000000000000000000000000000000000000000000000000573009150838862	activator	activator	activator	activator
MA0017.2	-0.065	0.122	6422	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.382928516078472	activator	activator	activator	activator	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000351657029988272	activator	activator	activator	activator
MA0018.4	-0.139	0.274	4476	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.160235202357641	activator	activator	activator	activator	0.000000000000000000000000000000000000604179324835052	activator	activator	activator	activator
MA0019.1	0.0124	0.0311	7299	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0024.3	0.0425	0.0883	2418	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.065624733320099	repressor	repressor	undetermined	undetermined	0.000000000110583911750582	repressor	repressor	undetermined	undetermined
MA0025.2	0.0642	0.118	1918	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0350891309734956	activator	undetermined	undetermined	undetermined	0.00000000000000000000127100144981685	activator	undetermined	undetermined	undetermined
MA0027.2	-0.0412	0.081	4737	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.0295124457255653	undetermined	undetermined	undetermined	undetermined	0.999999999585568	undetermined	undetermined	undetermined	undetermined
MA0028.2	-0.0419	0.194	5949	NaN	NA	0.0769230769230769	2	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0029.1	0.0514	0.0958	2764	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.118396039585735	repressor	repressor	repressor	repressor	0.0000000000000000222509026805076	repressor	repressor	repressor	repressor
MA0030.1	0.0257	0.0488	3171	NaN	NA	0.0769230769230769	1	0.0846848934198332	0.0752809735445527	activator	activator	activator	undetermined	0.000000000000000000821552829625631	activator	activator	activator	undetermined
MA0031.1	0.0579	0.107	3535	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.000124031215022842	undetermined	undetermined	undetermined	undetermined	0.0211721863077647	undetermined	undetermined	undetermined	undetermined
MA0032.2	0.0737	0.135	1567	NaN	NA	0.0769230769230769	2	0.0846848934198332	0.0340803284549901	activator	undetermined	undetermined	undetermined	0.00000000000927587479329743	activator	undetermined	undetermined	undetermined
MA0035.4	0.0197	0.0365	3606	NaN	NA	0.0769230769230769	1	0.0846848934198332	NA	not-expressed	not-expressed	not-expressed	not-expressed	NA	not-expressed	not-expressed	not-expressed	not-expressed
MA0036.3	0.0197	0.0381	3053	NaN	NA	0.0769230769230769	1	0.0846848934198332	-0.016353622000003	undetermined	undetermined	undetermined	undetermined	0.811922706203815	undetermined	undetermined	undetermined	undetermined
