"","TF","permutation","weighted_meanDifference","weighted_CD","TFBS","weighted_Tstat","variance","pvalue","Cohend_factor","pvalueAdj","median.cor.tfs","classification_q0.1","classification_q0.05","classification_q0.01","classification_q0.001","classification_distr_rawP","classification_q0.1_final","classification_q0.05_final","classification_q0.01_final","classification_q0.001_final","yValue","pValueAdj_log10","pValue_log10","pValueAdj_sig","pValue_sig"
"1","MA0014.3",0,-0.0481,0.0969,9051,NA,NA,0.0769230769230769,"1",0.0846848934198332,0.19581490486933,"activator","activator","activator","activator",0.000000000000000000000000000000000000000000000000000000000000000573009150838862,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"2","MA0017.2",0,-0.065,0.122,6422,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.382928516078472,"activator","activator","activator","activator",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000351657029988272,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"3","MA0018.4",0,-0.139,0.274,4476,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.160235202357641,"activator","activator","activator","activator",0.000000000000000000000000000000000000604179324835052,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"4","MA0029.1",0,0.0514,0.0958,2764,NA,NA,0.0769230769230769,"1",0.0846848934198332,-0.118396039585735,"repressor","repressor","repressor","repressor",0.0000000000000000222509026805076,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"5","MA0041.1",0,0.0838,0.155,1976,NA,NA,0.0769230769230769,"2",0.0846848934198332,-0.115287803958916,"repressor","repressor","repressor","repressor",0.0000000000000168473686349721,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"6","MA0047.3",0,-0.00605,0.011,4269,NA,NA,0.153846153846154,"1",0.164417453891138,-0.114656006981988,"repressor","repressor","repressor","repressor",0.0000000000000526535380958158,"repressor","repressor","repressor","repressor",0.784052081405111,0.784052081405111,0.812913356642856,TRUE,TRUE
"7","MA0052.4",0,0.134,0.247,2095,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.110627125190754,"activator","activator","activator","activator",0.0000000000000000000000000000000000000000000000147191740358309,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"8","MA0075.3",0,0.0245,0.0541,4804,NA,NA,0.0769230769230769,"1",0.0846848934198332,-0.112688800107522,"repressor","repressor","repressor","repressor",0.0000000000000000000000236641047727056,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"9","MA0076.2",0,-0.027,0.0973,10662,NA,NA,0.0769230769230769,"1",0.0846848934198332,0.151014860608138,"activator","activator","activator","activator",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000409215834697499,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"10","MA0079.4",0,-0.122,0.257,9281,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.201835824577235,"activator","activator","activator","activator",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022685519743032,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"11","MA0103.3",0,0.0504,0.122,6826,NA,NA,0.0769230769230769,"2",0.0846848934198332,-0.207739926434126,"repressor","repressor","repressor","repressor",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000274370358036378,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"12","MA0104.4",0,-0.0356,0.0754,7535,NA,NA,0.0769230769230769,"1",0.0846848934198332,-0.124235230437714,"repressor","repressor","repressor","repressor",0.000000000000000000000000000000000000000000000000000100808229296391,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"13","MA0114.4",0,0.0478,0.0916,3849,NA,NA,0.0769230769230769,"1",0.0846848934198332,-0.134429931178913,"repressor","repressor","repressor","repressor",0.0000000022749435239413,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"14","MA0146.2",0,0.0382,0.0832,12925,NA,NA,0.0769230769230769,"1",0.0846848934198332,-0.105272287973267,"repressor","repressor","repressor","repressor",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000525892251300663,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"15","MA0147.3",0,-0.0348,0.0738,6484,NA,NA,0.0769230769230769,"1",0.0846848934198332,-0.141044406774215,"repressor","repressor","repressor","repressor",0.0000000000000000000000000000000000000000000000000000000000000000289213807886491,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"16","MA0148.4",0,0.0288,0.0524,3641,NA,NA,0.0769230769230769,"1",0.0846848934198332,-0.146818322418346,"repressor","repressor","repressor","repressor",0.00000000000000000000256744086684554,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"17","MA0161.2",0,0.0561,0.108,4751,NA,NA,0.0769230769230769,"2",0.0846848934198332,-0.093431089376436,"repressor","repressor","repressor","repressor",0.00000000000000357513534711849,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"18","MA0163.1",0,0.0499,0.104,3847,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.107902005330371,"activator","activator","activator","activator",0.00000000000000000000000000000000000000000000000000000000000000000000000286957293498656,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"19","MA0465.2",0,0.125,0.232,3393,NA,NA,0.0769230769230769,"2",0.0846848934198332,-0.10007897760964,"repressor","repressor","repressor","repressor",0.000000323902338076547,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"20","MA0471.2",0,0.0127,0.0341,12217,NA,NA,0.0769230769230769,"1",0.0846848934198332,-0.0976108033449987,"repressor","repressor","repressor","repressor",0.00000000000000000000000000000000000000000000307550298017729,"repressor","repressor","repressor","repressor",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"21","MA0474.2",0,-0.00866,0.171,7695,NA,NA,0.307692307692308,"2",0.322239365219308,0.172319531596122,"activator","activator","activator","activator",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000533468909774896,"activator","activator","activator","activator",0.491821406644175,0.491821406644175,0.511883360978874,FALSE,FALSE
"22","MA0475.2",0,-0.0146,0.177,7461,NA,NA,0.153846153846154,"2",0.164417453891138,0.177082000334636,"activator","activator","activator","activator",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000251276742867136,"activator","activator","activator","activator",0.784052081405111,0.784052081405111,0.812913356642856,TRUE,TRUE
"23","MA0486.2",0,0.127,0.237,2962,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.137850888291287,"activator","activator","activator","activator",0.0000000000000000000000000000000213718779092995,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"24","MA0488.1",0,-0.113,0.218,4028,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.247176159185395,"activator","activator","activator","activator",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000155770329930542,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"25","MA0491.2",0,-0.176,0.328,4380,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.166202474976719,"activator","activator","activator","activator",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000679726651682353,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"26","MA0495.3",0,0.0346,0.0642,2524,NA,NA,0.0769230769230769,"1",0.0846848934198332,0.0912235384018521,"activator","activator","activator","activator",0.0000000000000000000000000098011139481757,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"27","MA0497.1",0,0.127,0.235,2265,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.117478019059491,"activator","activator","activator","activator",0.0000000000000000000000140042240260005,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"28","MA0504.1",0,-0.0277,0.0989,7783,NA,NA,0.0769230769230769,"1",0.0846848934198332,0.144467277656503,"activator","activator","activator","activator",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000713449433430182,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
"29","MA0505.1",0,0.123,0.259,3616,NA,NA,0.0769230769230769,"2",0.0846848934198332,0.0910895153615321,"activator","activator","activator","activator",0.000000000000000000000000000000000000000000180185124709142,"activator","activator","activator","activator",1.07219405471699,1.07219405471699,1.11394335230684,TRUE,TRUE
