"","permutation","TF","weighted_meanDifference","weighted_CD","TFBS","weighted_Tstat","variance","pvalue"
"1",0,"MA0002.2",0.0529,0.103,3459,NA,NA,0.0769230769230769
"2",1,"MA0002.2",-0.0124,0.122,3459,NA,NA,0.0769230769230769
"3",2,"MA0002.2",0.00597,0.0952,3459,NA,NA,0.0769230769230769
"4",3,"MA0002.2",0.00269,0.0706,3459,NA,NA,0.0769230769230769
"5",4,"MA0002.2",0.00138,0.0263,3459,NA,NA,0.0769230769230769
"6",5,"MA0002.2",-0.00524,0.0756,3459,NA,NA,0.0769230769230769
"7",6,"MA0002.2",0.000759,0.0248,3459,NA,NA,0.0769230769230769
"8",7,"MA0002.2",-0.00923,0.0978,3459,NA,NA,0.0769230769230769
"9",8,"MA0002.2",0.00786,0.0975,3459,NA,NA,0.0769230769230769
"10",9,"MA0002.2",0.000254,0.0421,3459,NA,NA,0.0769230769230769
"11",10,"MA0002.2",-0.000718,0.0263,3459,NA,NA,0.0769230769230769
"12",11,"MA0002.2",-0.00476,0.0656,3459,NA,NA,0.0769230769230769
"13",12,"MA0002.2",0.000897,0.0289,3459,NA,NA,0.0769230769230769
"14",0,"MA0003.4",0.0425,0.121,16337,NA,NA,0.0769230769230769
"15",1,"MA0003.4",-0.00596,0.146,16337,NA,NA,0.0769230769230769
"16",2,"MA0003.4",0.0113,0.181,16337,NA,NA,0.0769230769230769
"17",3,"MA0003.4",0.00858,0.164,16337,NA,NA,0.0769230769230769
"18",4,"MA0003.4",0.00367,0.103,16337,NA,NA,0.0769230769230769
"19",5,"MA0003.4",0.00478,0.209,16337,NA,NA,0.0769230769230769
"20",6,"MA0003.4",-0.00383,0.118,16337,NA,NA,0.0769230769230769
"21",7,"MA0003.4",-0.0109,0.139,16337,NA,NA,0.0769230769230769
"22",8,"MA0003.4",0.00884,0.149,16337,NA,NA,0.0769230769230769
"23",9,"MA0003.4",0.0145,0.154,16337,NA,NA,0.0769230769230769
"24",10,"MA0003.4",-0.00952,0.2,16337,NA,NA,0.0769230769230769
"25",11,"MA0003.4",-0.00996,0.122,16337,NA,NA,0.0769230769230769
"26",12,"MA0003.4",0.000212,0.0291,16337,NA,NA,0.0769230769230769
"27",0,"MA0007.3",0.0447,0.09,3541,NA,NA,0.0769230769230769
"28",1,"MA0007.3",-0.00937,0.102,3541,NA,NA,0.0769230769230769
"29",2,"MA0007.3",0.00696,0.112,3541,NA,NA,0.0769230769230769
"30",3,"MA0007.3",0.00414,0.0776,3541,NA,NA,0.0769230769230769
"31",4,"MA0007.3",-0.000377,0.0443,3541,NA,NA,0.0769230769230769
"32",5,"MA0007.3",-0.00402,0.0768,3541,NA,NA,0.0769230769230769
"33",6,"MA0007.3",-0.000447,0.0381,3541,NA,NA,0.0769230769230769
"34",7,"MA0007.3",-0.0109,0.129,3541,NA,NA,0.0769230769230769
"35",8,"MA0007.3",0.0073,0.117,3541,NA,NA,0.0769230769230769
"36",9,"MA0007.3",0.00378,0.0546,3541,NA,NA,0.0769230769230769
"37",10,"MA0007.3",-0.00545,0.114,3541,NA,NA,0.0769230769230769
"38",11,"MA0007.3",-0.00484,0.0584,3541,NA,NA,0.0769230769230769
"39",12,"MA0007.3",0.00144,0.0545,3541,NA,NA,0.0769230769230769
"40",0,"MA0009.2",-0.00487,0.0501,3653,NA,NA,0.0769230769230769
"41",1,"MA0009.2",-0.002,0.0348,3653,NA,NA,0.0769230769230769
"42",2,"MA0009.2",0.0045,0.0672,3653,NA,NA,0.0769230769230769
"43",3,"MA0009.2",-0.00161,0.045,3653,NA,NA,0.0769230769230769
"44",4,"MA0009.2",-0.00039,0.0359,3653,NA,NA,0.0769230769230769
"45",5,"MA0009.2",-0.000996,0.0223,3653,NA,NA,0.0769230769230769
"46",6,"MA0009.2",0.00251,0.0453,3653,NA,NA,0.0769230769230769
"47",7,"MA0009.2",-0.0014,0.0426,3653,NA,NA,0.0769230769230769
"48",8,"MA0009.2",0.00454,0.0703,3653,NA,NA,0.0769230769230769
"49",9,"MA0009.2",-0.00249,0.0319,3653,NA,NA,0.0769230769230769
"50",10,"MA0009.2",-0.00298,0.058,3653,NA,NA,0.0769230769230769
"51",11,"MA0009.2",0.00164,0.0468,3653,NA,NA,0.0769230769230769
"52",12,"MA0009.2",-0.002,0.0427,3653,NA,NA,0.0769230769230769
"53",0,"MA0014.3",-0.0481,0.0969,9051,NA,NA,0.0769230769230769
"54",1,"MA0014.3",0.0114,0.118,9051,NA,NA,0.0769230769230769
"55",2,"MA0014.3",-0.00512,0.0805,9051,NA,NA,0.0769230769230769
"56",3,"MA0014.3",-0.00259,0.0518,9051,NA,NA,0.0769230769230769
"57",4,"MA0014.3",-0.0012,0.0383,9051,NA,NA,0.0769230769230769
"58",5,"MA0014.3",0.00496,0.0882,9051,NA,NA,0.0769230769230769
"59",6,"MA0014.3",-0.000641,0.0228,9051,NA,NA,0.0769230769230769
"60",7,"MA0014.3",0.00809,0.0974,9051,NA,NA,0.0769230769230769
"61",8,"MA0014.3",-0.00676,0.107,9051,NA,NA,0.0769230769230769
"62",9,"MA0014.3",-0.000452,0.0127,9051,NA,NA,0.0769230769230769
"63",10,"MA0014.3",-0.00000452,0.0392,9051,NA,NA,0.0769230769230769
"64",11,"MA0014.3",0.00423,0.0555,9051,NA,NA,0.0769230769230769
"65",12,"MA0014.3",-0.000837,0.0251,9051,NA,NA,0.0769230769230769
"66",0,"MA0017.2",-0.065,0.122,6422,NA,NA,0.0769230769230769
"67",1,"MA0017.2",0.0194,0.187,6422,NA,NA,0.0769230769230769
"68",2,"MA0017.2",-0.0105,0.15,6422,NA,NA,0.0769230769230769
"69",3,"MA0017.2",-0.00179,0.0368,6422,NA,NA,0.0769230769230769
"70",4,"MA0017.2",0.00309,0.0625,6422,NA,NA,0.0769230769230769
"71",5,"MA0017.2",0.0129,0.191,6422,NA,NA,0.0769230769230769
"72",6,"MA0017.2",-0.00765,0.146,6422,NA,NA,0.0769230769230769
"73",7,"MA0017.2",0.00866,0.0932,6422,NA,NA,0.0769230769230769
"74",8,"MA0017.2",-0.00578,0.0834,6422,NA,NA,0.0769230769230769
