SYMBOL ENSEMBL HOCOID
ABI3 ENSGALG00000044071 MA0564.1
ACE2 ENSGALG00000016554 MA0267.1
ALX1 ENSGALG00000027213 MA0854.1
ALX3 ENSGALG00000025867 MA0634.1
ALX4 ENSGALG00000032584 MA0853.1
AR ENSGALG00000030879 MA0007.3
ARF1 ENSGALG00000005393 MA0942.1
ARF4 ENSGALG00000005622 MA1697.1
ARF5 ENSGALG00000043476 MA0943.1
ARID3A ENSGALG00000026231 MA0151.1
ARID3B ENSGALG00000001376 MA0601.1
ARID5A ENSGALG00000039206 MA0602.1
ARNT ENSGALG00000000751 MA0004.1
ARNT2 ENSGALG00000006445 MA1464.1
ARNTL ENSGALG00000005378 MA0603.1
ARX ENSGALG00000042604 MA0874.1
ASCL1 ENSGALG00000037082 MA1100.2
ASCL2 ENSGALG00000030492 MA0816.1
ATF1 ENSGALG00000033614 MA0604.1
ATF2 ENSGALG00000009287 MA1632.1
ATF3 ENSGALG00000049422 MA0605.2
ATF4 ENSGALG00000012135 MA0833.2
ATF6 ENSGALG00000032278 MA1466.1
ATOH7 ENSGALG00000052760 MA1468.1
BACH1 ENSGALG00000015828 MA1633.1
BACH2 ENSGALG00000015605 MA1101.2
BARHL1 ENSGALG00000043217 MA0877.2
BARHL2 ENSGALG00000040069 MA0635.1
BARX1 ENSGALG00000035557 MA0875.1
BARX2 ENSGALG00000029382 MA1471.1
BATF ENSGALG00000010323 MA1634.1
BATF3 ENSGALG00000052425 MA0835.2
BCL6 ENSGALG00000007357 MA0463.2
BHLHA15 ENSGALG00000031306 MA0607.1
BHLHE22 ENSGALG00000040249 MA0818.1
BHLHE23 ENSGALG00000005718 MA0817.1
BHLHE40 ENSGALG00000008308 MA0464.2
BHLHE41 ENSGALG00000048539 MA0636.1
BSX ENSGALG00000006515 MA0876.1
BTD ENSGALG00000011216 MA0443.1
CAMTA1 ENSGALG00000047857 MA1197.1
CAMTA1 ENSGALG00000039525 MA1197.1
CDX1 ENSGALG00000005679 MA0878.2
CDX2 ENSGALG00000034983 MA0465.2
CDX4 ENSGALG00000007657 MA1473.1
CEBPA ENSGALG00000047514 MA0102.4
CEBPB ENSGALG00000008014 MA0466.2
CEBPD ENSGALG00000040180 MA0836.2
CEBPG ENSGALG00000032365 MA0838.1
CLOCK ENSGALG00000013793 MA0819.1
COG1 ENSGALG00000029893 MA1279.1
CREB1 ENSGALG00000008494 MA0018.4
CREB3 ENSGALG00000002523 MA0638.1
CREB3L1 ENSGALG00000008393 MA0839.1
CREB3L2 ENSGALG00000012877 MA0608.1
CREB5 ENSGALG00000038265 MA0840.1
CREM ENSGALG00000007082 MA0609.2
CTCF ENSGALG00000001817 MA0531.1
CTCF ENSGALG00000001817 MA0139.1
CUX1 ENSGALG00000021636 MA0754.1
CUX2 ENSGALG00000004598 MA0755.1
DEAF1 ENSGALG00000034225 MA0185.1
DLX1 ENSGALG00000018439 MA0879.1
DLX2 ENSGALG00000039436 MA0885.1
DLX3 ENSGALG00000040529 MA0880.1
DLX4 ENSGALG00000045023 MA0881.1
DLX5 ENSGALG00000009129 MA1476.1
DLX6 ENSGALG00000023195 MA0882.1
DMBX1 ENSGALG00000010436 MA0883.1
DMRT1 ENSGALG00000010160 MA1603.1
DMRT3 ENSGALG00000010161 MA0610.1
DMRTA2 ENSGALG00000031423 MA1478.1
DRGX ENSGALG00000030822 MA1481.1
E2F1 ENSGALG00000003045 MA0024.3
E2F3 ENSGALG00000012680 MA0469.3
