Gene	ENSGALG
AGC1	ENSGALG00000006725
CMYB	ENSGALG00000013956
CMYC	ENSGALG00000033631
COL2A1	ENSGALG00000030712
CSRNP1	ENSGALG00000027905
DBH	ENSGALG00000040045
DCT	ENSGALG00000016899
DLX5	ENSGALG00000009129
DLX6	ENSGALG00000023195
DMBX1	ENSGALG00000010436
DRAXIN	ENSGALG00000004631
EBF1	ENSGALG00000003699
ETS1	ENSGALG00000001143
FOXD3	ENSGALG00000042686
FOXI1	ENSGALG00000002105
FOXI3	ENSGALG00000037457
GATA2	ENSGALG00000005909
GATA3	ENSGALG00000029270
GBX2	ENSGALG00000013342
GEM	ENSGALG00000032506
HAND2	ENSGALG00000030530
ID2	ENSGALG00000035016
KLF4	ENSGALG00000026928
LHX5	ENSGALG00000008303
LIN28	ENSGALG00000036022
LMO4	ENSGALG00000006252
LMX1B	ENSGALG00000136944
MEF2C	ENSGALG00000014645
MITF	ENSGALG00000039583
MSX1	ENSGALG00000015013
MYCN	ENSGALG00000016462
NANOG	ENSGALG00000027772
OTX2	ENSGALG00000034889
PAX3	ENSGALG00000030944
PAX7	ENSGALG00000043204
PHOX2B	ENSGALG00000014250
POU4F3	ENSGALG00000034567
POU5F3	ENSGALG00000031482
PRDM1A	ENSGALG00000015388
RXRG	ENSGALG00000040730
SAL2	ENSGALG00000042066
SI	ENSGALG00000009511
SNAIL1	ENSGALG00000008018
SNAIL2	ENSGALG00000030902
SOX10	ENSGALG00000012290
SOX2	ENSGALG00000043460
SOX3	ENSGALG00000040383
SOX5	ENSGALG00000032768
SOX8	ENSGALG00000005263
SOX9	ENSGALG00000004386
SP5	ENSGALG00000034094
TFAP2A	ENSGALG00000012775
TFAP2B	ENSGALG00000016680
TFAP2C	ENSGALG00000007690
TH	ENSGALG00000029648
TWIST1	ENSGALG00000041640
TWIST2	ENSGALG00000004274
TWIST3	ENSGALG00000040220
TYR	ENSGALG00000017237
ZIC1	ENSGALG00000040532
ZIC3	ENSGALG00000031144
MSX2	ENSGALG00000038848
SOX13	ENSGALG00000000583
ROBO1	ENSGALG00000015511
ROBO2	ENSGALG00000015519
ZEB2	ENSGALG00000040465
SALL1	ENSGALG00000039238
SALL4	ENSGALG00000041365
LTK	ENSGALG00000008615
CDON	ENSGALG00000035419
MEIS1	ENSGALG00000041626
DACT2	ENSGALG00000011288
GLI3	ENSGALG00000040266
PDGFA	ENSGALG00000003642
SLIT3	ENSGALG00000001916
AXIN2	ENSGALG00000039200
