Sample	Backgrounrd	Ctrl	Norm Ctrl	SoxOctOE	Norm SoxOctOE	Ratio OE/Ctrl	Mean Ratio	E mean Ctrl	E mean OE
Casp_1a	1089.733	2862.598	2.626880162	2403.55	2.205632022	0.839639377	NA	NA	NA
Casp_1b	856.507	2335.482	2.726751795	2252.619	2.630006527	0.964519958	NA	NA	NA
Casp_1c	849.377	2515.026	2.961024374	2416.073	2.844523692	0.960655278	0.921604871	2.771552111	2.56005408
Casp_2a	883.451	2000.361	2.264258006	2057.799	2.329273497	1.028713817	NA	NA	NA
Casp_2b	830.951	1771.994	2.13248916	1913.367	2.302623139	1.079781873	NA	NA	NA
Casp_2c	803.366	1762.912	2.194407032	1844.041	2.295393382	1.046019881	1.05150519	2.1970514	2.309096673
Casp_3b	788.791	1766.899	2.240009077	1671.039	2.118481321	0.945746757	NA	NA	NA
Casp_3c	816.584	1730.668	2.119399841	1717.459	2.103223918	0.992367687	NA	NA	NA
Casp_3d	786.941	1527.472	1.941024804	1668.235	2.119898442	1.092154226	1.010089557	2.100144574	2.113867894
Casp_4a	750.281	1491.681	1.988163102	1549.63	2.065399497	1.038848118	NA	NA	NA
Casp_4e	771.188	1563.871	2.027872581	1629.393	2.112835003	1.041897318	NA	NA	NA
Casp_4f	772.218	1481.505	1.918506173	1687.821	2.185679432	1.139261089	1.073335508	1.978180619	2.121304644
Casp_5a	752.326	1927.276	2.561756473	2085.27	2.771763836	1.08197788	NA	NA	NA
Casp_5b	773.119	1774.103	2.294734704	1753.298	2.267824229	0.988272947	NA	NA	NA
Casp_6a	778.926	1565.66	2.010024059	1395.621	1.791724759	0.891394683	0.98721517	2.288838412	2.277104275
