Sample	Backgrounrd	Ctrl	Norm Ctrl	SoxOctOE	Norm SoxOctOE	Ratio OE/Ctrl	Mean Ratio	E mean Ctrl	E mean OE
pH3_1a	214.349	358.108	1.67067726	338.882	1.580982417	0.946312286	NA	NA	NA
pH3_1b	210.895	482.323	2.28702909	411.254	1.95004149	0.852652683	NA	NA	NA
pH3_1e	202.863	357.733	1.76342162	461.966	2.277231432	1.291370939	1.030111969	1.907042657	1.936085113
pH3_2a	206.397	516.746	2.503650731	495.567	2.401037806	0.95901468	NA	NA	NA
pH3_2c	206.267	522.869	2.534913486	615.483	2.983914053	1.177126584	NA	NA	NA
pH3_2d	203.756	468.978	2.301664736	429.604	2.108423801	0.91604297	1.017394745	2.446742985	2.497791887
pH3_3a	208.219	422.299	2.028148248	511.56	2.456836312	1.211369196	NA	NA	NA
pH3_3b	208.688	519.415	2.488954803	400.209	1.917738442	0.770499504	NA	NA	NA
pH3_3c	213.137	414.334	1.943979694	433.417	2.033513656	1.046057046	1.009308582	2.153694248	2.13602947
pH3_4a	222.027	493.292	2.221765821	494.794	2.228530764	1.00304485	NA	NA	NA
pH3_4b	216.582	399.69	1.84544422	286.042	1.320709939	0.715659636	NA	NA	NA
pH3_4c	274.025	578.627	2.111584709	412.207	1.504267859	0.712388119	0.810364202	2.05959825	1.684502854
pH3_5a	271.644	554.953	2.042942233	653.347	2.405158958	1.177301501	NA	NA	NA
pH3_5b	268.679	344.4	1.281827013	632.362	2.353596671	1.836126597	NA	NA	NA
pH3_5c	272.603	526.638	1.931886296	516.578	1.894982814	0.980897694	1.331441931	1.752218514	2.217912814
