# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr2_96890408_96892041	SEMA4C (-21254), FAHD2B (+203614)
chr18_59454841_59455644	LMAN1 (-95281), CCBE1 (+242137)
chr2_28543484_28545193	PPP1CB (-207514), PLB1 (+48268)
chr11_15884290_15885288	SOX6 (+591599), INSC (+772365)
chr10_78359211_78360276	ZMIZ1 (-709291), RPS24 (+325984)
chr10_103720297_103721477	SH3PXD2A (+134519), NEURL1 (+226908)
chr2_120935409_120936441	GLI2 (+143516), TFCP2L1 (+349282)
chr9_19201963_19202897	PLIN2 (-74854), DENND4C (-28005)
chr17_48513420_48514596	SKAP1 (-83818), HOXB1 (+16989)
chr8_42719772_42721497	CHRNB3 (+23216), CHRNA6 (+48151)
chr11_116073850_116074863	CADM1 (-569792), BUD13 (+698631)
chr8_37478715_37480033	ZNF703 (-216377), KCNU1 (+695000)
chr6_163745607_163746498	QKI (+331410)
chr11_44452944_44454269	ALX4 (-143441), CD82 (-111984)
chr8_37555940_37557671	ZNF703 (-138945), KCNU1 (+772432)
chr2_226720267_226721908	IRS1 (+78671)
chr5_154517075_154518900	LARP1 (-194914), HAND1 (-39724)
chr5_154575723_154577092	LARP1 (-136494), HAND1 (-98144)
chr8_92627481_92628524	RUNX1T1 (-532349), TRIQK (+338142)
chr2_120937756_120938847	GLI2 (+145893), TFCP2L1 (+346905)
chr10_29254364_29255177	LYZL1 (-34290), BAMBI (+577429)
chr17_74024568_74025778	SDK2 (-381084), RPL38 (-178480)
chr5_150377105_150378610	TCOF1 (+20219), CD74 (+34893)
chr11_76624186_76625258	LRRC32 (+45278), EMSY (+177822)
chr11_1691082_1691957	KRTAP5-6 (-5675), KRTAP5-5 (+61745)
chr2_173831314_173832394	SP3 (+133848), CDCA7 (+476993)
chr1_14627028_14627995	TMEM51 (-525020), KAZN (+28808)
chr20_37332070_37332672	SRC (-13783), MANBAL (+35475)
chr4_1784985_1785815	FGFR3 (-7912), TACC3 (+63861)
chr11_62472082_62473136	SCGB1A1 (+53574), AHNAK (+74226)
chr3_37739276_37740265	CTDSPL (-122403), ITGA9 (+287652)
chr13_73220902_73221757	KLF5 (+162538), KLF12 (+773719)
chr8_4515681_4516710	CSMD1 (+478776)
chr17_31571045_31571970	RAB11FIP4 (+179884), COPRS (+287829)
chr10_108876639_108877848	NONE
chr17_74647793_74648574	CD300E (-24446), CD300LF (+64757)
chr1_154431865_154433207	IL6R (+27343), SHE (+69577)
chr1_202074910_202077211	GPR37L1 (-46797), ELF3 (+68116)
chr10_47038962_47040026	GDF10 (-260892), PTPN20 (+107071)
