# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr11_19816965_19818286	NAV2 (+104029), DBX1 (+342987)
chr2_201995116_201996592	FZD7 (-38733), CDK15 (+189275)
chr4_132495262_132496146	PCDH10 (-653611)
chr1_179591509_179592412	TDRD5 (+339)
chr4_92256052_92257285	GRID2 (-46953)
chr5_94361884_94362852	SLF1 (-255979), FAM172A (-250733)
chr3_155362503_155363925	ENSG00000240045 (-69439), PLCH1 (+312825)
chr11_65212591_65214275	POLA2 (-48329), CAPN1 (+30971)
chr14_74428886_74429852	SYNDIG1L (-3267)
chr22_38325384_38326315	CSNK1E (-8442), KCNJ4 (+129349)
chr2_72951011_72952263	EMX1 (+34162), SFXN5 (+120199)
chr4_92253390_92255395	GRID2 (-49229)
chr2_53859348_53860519	GPR75 (+55), GPR75-ASB3 (+226)
chr7_99943726_99945218	GJC3 (-14852), AZGP1 (+31685)
chr5_170761049_170762632	GABRP (-20841), KCNIP1 (+257268)
chr8_88590934_88592496	MMP16 (-264227)
chr8_98973526_98974820	VPS13B (-39093), OSR2 (+29770)
chr7_122678592_122680004	FEZF1 (-374793), RNF133 (+19858)
chr1_160981328_160982751	ITLN2 (-27241), F11R (+39308)
chr22_30079911_30080694	HORMAD2 (+129)
chr15_43927521_43928726	WDR76 (+101161), FRMD5 (+267107)
chr3_46544899_46546468	TDGF1 (-31553), RTP3 (+48193)
chr8_67368410_67370775	ARFGEF1 (-25916), CPA6 (+376792)
chr2_219565268_219566018	CHPF (-21856), OBSL1 (+5646)
chr6_27680545_27681612	ZNF184 (-207961), HIST1H2BL (+126852)
chr15_88998729_88999871	ABHD2 (-88850), MFGE8 (-85889)
chr6_49342031_49343000	MUT (+120675)
chr16_56674866_56677087	MT1X (-6447), MT1H (+6163)
chr5_156913528_156914813	TIMD4 (+49084), PPP1R2P3 (+63633)
chr20_32810521_32812449	MAPRE1 (-8408), DNMT3B (+49100)
chr12_8818875_8819948	A2ML1 (-3060)
chr19_19637163_19638387	LPAR2 (-8845), GMIP (+5892)
chr5_14340923_14342565	OTULIN (-323004), TRIO (+198042)
chr3_146469059_146470257	PLSCR2 (-357)
chr2_218387014_218388435	CTDSP1 (-12030), SLC11A1 (+5696)
chr9_13491417_13492580	MPDZ (-212409), NFIB (+821668)
chr14_23251880_23252936	HOMEZ (+33709), RNF212B (+67092)
chr8_26636690_26637614	PNMA2 (-123060), ADRA1A (+228253)
chr4_48985711_48986783	CWH43 (0)
chr6_73348571_73349997	KHDC1 (-39069), DPPA5 (+5011)
chr5_12323351_12324236	CTNND2 (-419751)
chr12_62653580_62654485	MON2 (+187216), PPM1H (+281004)
chr17_66730331_66731138	CACNG5 (-104382), PRKCA (+427909)
chr2_156630487_156631434	GALNT5 (-626637), GPD2 (+195520)
chr9_28970052_28971157	LINGO2 (-300320)
chr13_28438414_28440068	FLT1 (+55854), PAN3 (+300735)
chr18_51417672_51418624	DCC (-922024), MEX3C (-220828)
chr5_55484101_55485418	PLPP1 (+50209), SKIV2L2 (+177000)
chr1_15508545_15509697	CASP9 (+15174), CELA2B (+33020)
chr6_158338559_158339763	TMEM181 (-197275), TULP4 (+26673)
chr2_44789640_44790952	SIX3 (-151602), CAMKMT (+428332)
chr10_123458919_123460630	GPR26 (-206580), BUB3 (+305498)
chr11_22340825_22341677	SLC17A6 (+3154), FANCF (+285536)
chr17_34424003_34425422	TMEM132E (-156296), CCL1 (-61482)
chr7_149355092_149356402	ZNF783 (+93576), ZNF777 (+105376)
chr6_96162488_96163822	UFL1 (-358653), FUT9 (+147171)
chr12_125049311_125050056	AACS (-15695), BRI3BP (+55984)
chr3_46586036_46587592	TDGF1 (+9577), ALS2CL (+106887)
chr7_129775758_129776729	NRF1 (+146166), UBE2H (+176705)
chr4_151548794_151549896	GATB (+211678), PRSS48 (+272174)
chr9_21696055_21697064	IFNE (-214247), MTAP (-105983)
chr7_32680300_32681301	AVL9 (+185312), KBTBD2 (+211096)
chr8_9269550_9270278	TNKS (-286000), PPP1R3B (-119218)
chr6_97778256_97779949	MMS22L (-495927)
chr12_6329119_6330061	TNFRSF1A (+12524), PLEKHG6 (+18657)
chr12_80683981_80684597	MYF6 (-23209), PTPRQ (+240121)
chr15_83378600_83379926	BNC1 (-94549), SH3GL3 (-68268)
chr18_4119134_4119716	DLGAP1 (+335910), TGIF1 (+667748)
chr15_59353951_59355102	MYO1E (+18373), LDHAL6B (+147704)
chr13_42592755_42593982	DNAJC15 (-429834), TNFSF11 (+19216)
chr2_119792674_119793379	EPB41L5 (-219978), PTPN4 (+33396)
chr4_73984978_73985827	PF4 (-3279)
chr9_71758228_71758907	TRPM3 (-636970), TMEM2 (+10316)
chr11_121406073_121407038	SORL1 (-45647), SC5D (+114103)
chr4_68403767_68404849	YTHDC1 (-54555), TMPRSS11E (-43141)
chr1_182957651_182958558	SHCBP1L (-4735)
chr6_106613584_106615522	RTN4IP1 (+14934), CRYBG1 (+102698)
chr1_18233140_18233945	KLHDC7A (-247439), IGSF21 (+125797)
chr5_141491425_141492839	PCDHGC5 (+3011), DIAPH1 (+126923)
chr15_88992822_88994322	ABHD2 (-94578), MFGE8 (-80161)
chr20_25356240_25357291	ABHD12 (+34217), PYGB (+108697)
chr1_171909253_171911026	C1orf105 (-510548), DNM3 (+68640)
chr17_14355711_14356712	HS3ST3B1 (+55129), PMP22 (+906377)
chr6_4078624_4079689	ECI2 (+56440), PRPF4B (+57831)
chr5_126056867_126057660	GRAMD2B (-302868)
chr4_184616682_184618204	IRF2 (-142863), CASP3 (+32032)
chr1_71461893_71463217	ZRANB2 (-381258), NEGR1 (+820179)
chr11_743655_744468	TALDO1 (-3267)
chr2_55133522_55134585	RTN4 (-83510), CLHC1 (+98259)
chr2_190119075_190120115	C2orf88 (-61268), MSTN (-56866)
chr9_93365075_93367383	FAM120A (-85493), C9orf129 (-19815)
chr1_18298148_18298870	KLHDC7A (-182473), IGSF21 (+190763)
chr10_90925311_90925993	ANKRD1 (-4376)
chr16_26985485_26986904	KDM8 (-217780)
chr1_18418594_18420198	KLHDC7A (-61586), IGSF21 (+311650)
chr2_209451157_209451892	MAP2 (-127896)
chr8_73001650_73002395	TERF1 (-6841), KCNB2 (+464632)
chr14_24376088_24377066	NYNRIN (-22209), NFATC4 (+9666)
chr8_88459436_88460314	MMP16 (-132387)
chr9_27749401_27750529	C9orf72 (-176099), LINGO2 (+920320)
chr2_197785622_197786900	BOLL (+313)
chr2_171315933_171317062	TLK1 (-155665), DCAF17 (-117753)
chr2_167861392_167862598	B3GALT1 (-6953), XIRP2 (+973508)
chr18_59863713_59864743	CCBE1 (-166848), PMAIP1 (-35720)
chr3_10226284_10226929	TATDN2 (-21416), IRAK2 (+61742)
chr5_86644553_86645718	RASA1 (-622752), COX7C (+27180)
chr1_175864856_175865946	TNR (-121631), RFWD2 (+342092)
chr20_12752914_12754354	SPTLC3 (-255360), BTBD3 (+862806)
chr15_89981796_89983366	ARPIN (-69625), ZNF710 (-18811)
chr8_88366021_88366793	MMP16 (-38919)
chr4_138974524_138975523	SLC7A11 (-732675), NOCT (-40765)
chr11_133509947_133510741	OPCML (-566673), SPATA19 (+335157)
chr7_41808415_41809158	INHBA (-105679), GLI3 (+428226)
chr7_4040125_4041038	FOXK1 (-641727), SDK1 (+739134)
chr20_46011709_46012310	SLC12A5 (-9680), MMP9 (+3102)
chr6_165853928_165855152	PDE10A (-192471), T (+314079)
chr15_51076742_51078052	TNFAIP8L3 (+27879), AP4E1 (+168724)
chr13_35987297_35988613	MAB21L1 (-510746), DCLK1 (+143351)
chr11_70872862_70873676	SHANK2 (-211451), DHCR7 (+575166)
chr11_6323354_6323757	CAVIN3 (-2909)
chr4_128682885_128684603	PGRMC2 (-394915), JADE1 (-125879)
chr4_61769416_61770785	ADGRL3 (+567959)
chr1_148378458_148380074	NBPF11 (-226944), PPIAL4G (+104413)
chr6_158464257_158465119	TMEM181 (-71748), TULP4 (+152200)
chr15_69089490_69090719	GLCE (-70529), NOX5 (+75410)
chr10_117346421_117347251	PDZD8 (+28631), SLC18A2 (+105743)
chr6_47428465_47429881	TNFRSF21 (-119268), CD2AP (-48616)
chr5_84480915_84481677	EDIL3 (-96503)
chr6_127483436_127484095	KIAA0408 (-24375), SOGA3 (+35235)
chr1_181969607_181970651	ZNF648 (+91583), CACNA1E (+486384)
chr6_131161827_131162881	ARG1 (-410871), AKAP7 (+26688)
chr2_205482002_205483073	NRP2 (-199962), PARD3B (+936745)
chr20_10664256_10665017	JAG1 (+9470), SLX4IP (+229334)
chr1_243490851_243492184	SDCCAG8 (+235462), AKT3 (+351764)
chr7_102248180_102249324	SH2B2 (-36403), CUX1 (+432741)
chr14_62780949_62782263	KCNH5 (+263849), SYT16 (+785783)
chr2_39364606_39365659	CDKL4 (-135601), MAP4K3 (+72179)
chr9_72680436_72681294	TMC1 (+159064), ALDH1A1 (+272190)
chr18_76967639_76968574	ZNF236 (+145500), MBP (+164662)
chr1_62180925_62182418	L1TD1 (-13159), PATJ (+439195)
chr14_70708630_70709589	MED6 (-108420), MAP3K9 (+100424)
chr8_104028771_104029461	DCSTAMP (-310710), RIMS2 (+528368)
chr8_104466206_104467214	DPYS (+343)
chr3_29475336_29476359	RBMS3 (+194502)
chr1_62212465_62214262	L1TD1 (+18533), KANK4 (+106050)
chr18_54529102_54529919	STARD6 (-171547), DYNAP (-61648)
chr18_60804202_60805274	CDH20 (-528844), MC4R (-431963)
chr7_74404987_74405969	GTF2IRD1 (-48492), CLIP2 (+116003)
chr19_17159509_17160449	USE1 (-55380), MYO9B (+84198)
chr5_12661471_12662880	CTNND2 (-758133)
chr4_26818865_26819769	STIM2 (-41524), TBC1D19 (+235401)
chr16_49367739_49368715	CBLN1 (-86396), C16orf78 (-5596)
chr4_12050213_12051007	HS3ST1 (-620845)
chr4_84565835_84566385	NKX6-1 (-67660), CDS1 (-16869)
chr17_42012245_42012994	NKIRAS2 (-4400)
chr9_19446157_19447194	ACER2 (+37617), SLC24A2 (+340252)
chr18_62384636_62386513	ZCCHC2 (-137432), TNFRSF11A (+60260)
chr16_58862340_58863408	GOT2 (-128517)
chr4_173499693_173500618	SCRG1 (-100620), HAND2 (+30073)
chr5_169636591_169638036	DOCK2 (+67)
chr15_63764602_63765909	HERC1 (+68632), FBXL22 (+167903)
chr22_32325144_32326343	SLC5A4 (-70403), RFPL3 (-32123)
chr1_63294598_63295518	FOXD3 (-27983), ATG4C (+510923)
chr20_45853364_45853989	ZSWIM3 (-3940), ACOT8 (+3729)
chr14_37167692_37168321	SLC25A21 (+4859), PAX9 (+506142)
chr4_24658944_24659951	SOD3 (-136015), DHX15 (-74898)
chr1_233367113_233367851	KCNK1 (-246522), MAP3K21 (+39714)
chr2_63573187_63574523	WDPCP (+14944), OTX1 (+523053)
chr2_160924537_160925512	RBMS1 (-431231), TANK (-235272)
chr13_51645855_51646938	WDFY2 (+61889), DHRS12 (+157726)
chr1_224235661_224236803	DEGS1 (+53061), NVL (+94155)
chr19_11578135_11579261	ACP5 (+281)
chr7_31767755_31768572	PPP1R17 (+81449), PDE1C (+531165)
chr19_49435978_49436795	SLC17A7 (+5164), GFY (+12638)
chr18_31946476_31947130	TRAPPC8 (-3703)
chr4_41327603_41328218	LIMCH1 (-210246), UCHL1 (+71078)
chr4_92432729_92433841	GRID2 (+129663)
chr4_88738635_88739549	NAP1L5 (-40857), FAM13A (+318080)
chr14_73245474_73246285	PAPLN (+8383), NUMB (+212650)
chr5_126591498_126591939	ALDH7A1 (+3699), GRAMD2B (+231587)
chr13_40172000_40172917	FOXO1 (+494138), COG6 (+516782)
chr6_15037585_15039032	JARID2 (-207987), CD83 (+920668)
chr10_78038993_78040136	RPS24 (+5805)
chr19_58042753_58043400	ZNF135 (-16162), ZSCAN1 (+9011)
chr4_186241989_186243857	F11 (-23022), KLKB1 (+15521)
chr16_21152417_21153438	TMEM159 (-5761), LYRM1 (+251824)
chr1_219834129_219834844	ZC3H11B (-221342), SLC30A10 (+94115)
chr11_35330283_35331285	SLC1A2 (+88465), CD44 (+191603)
chr16_75593893_75594742	GABARAPL2 (+27967), ADAT1 (+28982)
chr15_88985847_88986569	ABHD2 (-101942), MFGE8 (-72797)
chr3_147934473_147935730	AGTR1 (-795078), ZIC1 (+525718)
chr12_76872312_76872939	CSRP2 (+6434), ZDHHC17 (+109038)
chr6_157090722_157091295	TMEM242 (+232592), ARID1B (+313635)
chr4_158571790_158572317	RXFP1 (+50340), C4orf46 (+99992)
chr12_8911722_8912215	PHC1 (-2584)
chr8_98972326_98972746	VPS13B (-40730), OSR2 (+28133)
chr8_102927306_102928057	ATP6V1C1 (-93381), AZIN1 (-62945)
chr5_68921663_68923219	SLC30A5 (-171205), PIK3R1 (+706721)
chr2_63746415_63747123	UGP2 (-94941), MDH1 (+157618)
chr5_72238576_72239240	MRPS27 (+81323), MAP1B (+131674)
chrX_48927225_48928572	PIM2 (-8875), OTUD5 (+29732)
chr7_27087838_27088556	SKAP2 (-223454), HOXA1 (+7777)
chr8_123197167_123198104	FAM83A (+18589), ZHX1 (+76851)
chr6_33592591_33593471	ITPR3 (-27334), BAK1 (-12789)
chr1_163596130_163597284	PBX1 (-962928), NUF2 (+274753)
chr4_38086625_38087820	KLF3 (-576973), PTTG2 (+126788)
chr5_73381424_73382804	FOXD1 (+66413), TMEM174 (+208919)
chr1_233289511_233290199	PCNX2 (+5858), NTPCR (+339231)
chr1_117346082_117347227	VTCN1 (-135721), MAN1A2 (-20794)
chr12_117279327_117280224	FBXO21 (-89320), NOS1 (+82026)
chr3_162740797_162741871	NONE
chr6_155954712_155955555	ARID1B (-822240), NOX3 (-499231)
chr1_212909572_212910713	VASH2 (-41400), FLVCR1 (+51888)
chr10_34008414_34009150	NRP1 (-672520), PARD3 (+806539)
chr1_43659581_43661089	ST3GAL3 (-47198), KDM4A (+10177)
chr20_31911281_31911991	PDRG1 (+40456), TTLL9 (+40509)
chr1_203307645_203308499	BTG2 (+2536), FMOD (+43417)
chr14_60317395_60318069	PPM1A (+71980), C14orf39 (+168364)
chr5_15554117_15555064	FBXL7 (+54395), MARCH11 (+625184)
chr11_14229379_14230922	RRAS2 (+129033), SPON1 (+267462)
