Species,Symbol,Ensembl,Family,Protein,Entrez.ID,updated_Entrez
Gallus_gallus,-,ENSGALG00000002792,ETS,ENSGALP00000004409;,428271,428271
Gallus_gallus,-,ENSGALG00000007656,Homeobox,ENSGALP00000038691;,422317,422317
Gallus_gallus,-,ENSGALG00000041296,HMG,ENSGALP00000056925;,-,771337
Gallus_gallus,-,ENSGALG00000045132,zf-C2H2,ENSGALP00000062804;,-,101747443
Gallus_gallus,-,ENSGALG00000004532,zf-C2H2,ENSGALP00000049601;,415764,415764
Gallus_gallus,-,ENSGALG00000034905,PC4,ENSGALP00000057670;,107055444,107055444
Gallus_gallus,-,ENSGALG00000014184,MH1,ENSGALP00000022898;ENSGALP00000043990;,769000,769000
Gallus_gallus,-,ENSGALG00000037619,Homeobox,ENSGALP00000058472;,777548,777548
Gallus_gallus,-,ENSGALG00000003533,zf-C2H2,ENSGALP00000005577;,428940,428940
Gallus_gallus,-,ENSGALG00000022875,TSC22,ENSGALP00000064553;ENSGALP00000029006;,421050,421050
Gallus_gallus,-,ENSGALG00000027242,MYB,ENSGALP00000043200;,-,417169
Gallus_gallus,-,ENSGALG00000038767,T-box,ENSGALP00000043501;ENSGALP00000052413;,-,428814
Gallus_gallus,-,ENSGALG00000031306,bHLH,ENSGALP00000049770;,107049029,107049029
Gallus_gallus,-,ENSGALG00000032994,HMG,ENSGALP00000044808;,107052723,428534
Gallus_gallus,-,ENSGALG00000015101,zf-C2H2,ENSGALP00000044026;ENSGALP00000049490;ENSGALP00000053990;ENSGALP00000024317;,431604,431604
Gallus_gallus,-,ENSGALG00000041052,zf-C2H2,ENSGALP00000056914;ENSGALP00000050574;ENSGALP00000057924;ENSGALP00000051093;ENSGALP00000043937;ENSGALP00000057219;,100857356,100857356
Gallus_gallus,-,ENSGALG00000034042,zf-MIZ,ENSGALP00000044365;,-,107055114
Gallus_gallus,-,ENSGALG00000038372,zf-C2H2,ENSGALP00000050963;,-,777386
Gallus_gallus,-,ENSGALG00000038064,MYB,ENSGALP00000045744;ENSGALP00000043653;,426615,426615
Gallus_gallus,-,ENSGALG00000036038,TF_bZIP,ENSGALP00000056809;ENSGALP00000046179;ENSGALP00000057912;,107051008,107051008
Gallus_gallus,-,ENSGALG00000002305,ZBTB,ENSGALP00000003618;ENSGALP00000003618;,424353,424353
Gallus_gallus,-,ENSGALG00000016516,zf-C2H2,ENSGALP00000026599;,-,421989
Gallus_gallus,-,ENSGALG00000043916,Homeobox,ENSGALP00000061619;,-,419032
Gallus_gallus,-,ENSGALG00000007570,zf-C2H2,ENSGALP00000012227;,430697,430697
Gallus_gallus,-,ENSGALG00000031085,zf-C2H2,ENSGALP00000046295;,416664,416664
Gallus_gallus,-,ENSGALG00000042295,zf-C2H2,ENSGALP00000044641;,107057099,107057099
Gallus_gallus,-,ENSGALG00000040811,Homeobox,ENSGALP00000044173;ENSGALP00000050538;,101750514,101750514
Gallus_gallus,-,ENSGALG00000027002,bHLH,ENSGALP00000041507;,-,107057363
Gallus_gallus,-,ENSGALG00000034527,zf-C2H2,ENSGALP00000052967;,-,107057116
Gallus_gallus,-,ENSGALG00000035772,zf-C2H2,ENSGALP00000054266;,107055962,107055962
Gallus_gallus,-,ENSGALG00000044225,zf-C2H2,ENSGALP00000060920;,101747537,101747537
Gallus_gallus,-,ENSGALG00000039134,TF_bZIP,ENSGALP00000051411;,-,769661
Gallus_gallus,-,ENSGALG00000008275,bHLH,ENSGALP00000046586;ENSGALP00000013453;,100858087,100858087
Gallus_gallus,-,ENSGALG00000036459,THAP,ENSGALP00000051453;ENSGALP00000052600;,776094,776094
Gallus_gallus,-,ENSGALG00000030902,zf-C2H2,ENSGALP00000056928;,432368,432368
Gallus_gallus,-,ENSGALG00000028153,Fork_head,ENSGALP00000041809;,-,772006
Gallus_gallus,-,ENSGALG00000044069,zf-C2H2,ENSGALP00000059904;,-,769660
Gallus_gallus,-,ENSGALG00000002191,Homeobox,ENSGALP00000003422;,-,107054494
Gallus_gallus,-,ENSGALG00000033094,TF_bZIP,ENSGALP00000054939;,-,101748229
Gallus_gallus,-,ENSGALG00000036017,bHLH,ENSGALP00000053171;,-,420176
Gallus_gallus,-,ENSGALG00000007287,zf-C2H2,ENSGALP00000038018;,-,423128
Gallus_gallus,-,ENSGALG00000033614,TF_bZIP,ENSGALP00000056046;ENSGALP00000061200;ENSGALP00000045584;,426873,426873
Gallus_gallus,-,ENSGALG00000044521,zf-C2H2,ENSGALP00000061820;,426408,426408
Gallus_gallus,-,ENSGALG00000038926,zf-C2H2,ENSGALP00000049042;,-,101749138
Gallus_gallus,-,ENSGALG00000037160,MH1,ENSGALP00000045889;ENSGALP00000054584;,429683,429683
Gallus_gallus,-,ENSGALG00000000669,ETS,ENSGALP00000045033;ENSGALP00000000943;,426718,426718
Gallus_gallus,-,ENSGALG00000033435,ZBTB,ENSGALP00000048305;ENSGALP00000048305;ENSGALP00000044855;,431588,431588
Gallus_gallus,-,ENSGALG00000016327,zf-C2H2,ENSGALP00000026288;,418596,418596
Gallus_gallus,-,ENSGALG00000044788,zf-C2H2,ENSGALP00000060710;,100857228,100857228
Gallus_gallus,-,ENSGALG00000016767,AF-4,ENSGALP00000027020;,-,418705
Gallus_gallus,-,ENSGALG00000003106,HMG,ENSGALP00000046963;ENSGALP00000033981;,-,419156
Gallus_gallus,-,ENSGALG00000023025,ZBTB,ENSGALP00000061522;ENSGALP00000061522;,428913,428913
Gallus_gallus,-,ENSGALG00000024335,zf-C2H2,ENSGALP00000040347;ENSGALP00000059754;,100859497,100859497
Gallus_gallus,-,ENSGALG00000033404,THR-like,ENSGALP00000057938;ENSGALP00000048847;ENSGALP00000058412;ENSGALP00000051606;,-,107051537
Gallus_gallus,-,ENSGALG00000011349,Homeobox,ENSGALP00000018495;,395769,395769
Gallus_gallus,-,ENSGALG00000044014,zf-C2H2,ENSGALP00000061169;,420369,420369
Gallus_gallus,-,ENSGALG00000026698,ETS,ENSGALP00000042848;,100857480,100857480
Gallus_gallus,-,ENSGALG00000035808,bHLH,ENSGALP00000054476;,107057363,107057363
Gallus_gallus,-,ENSGALG00000039728,Homeobox,ENSGALP00000057266;,-,777244
Gallus_gallus,-,ENSGALG00000040886,zf-C2H2,ENSGALP00000048774;ENSGALP00000057951;,107048990,107048990
Gallus_gallus,-,ENSGALG00000033739,Pou,ENSGALP00000045084;ENSGALP00000057921;ENSGALP00000044892;ENSGALP00000047857;ENSGALP00000051305;,-,107051987
Gallus_gallus,-,ENSGALG00000029316,ARID,ENSGALP00000045656;ENSGALP00000056232;,419542,419542
Gallus_gallus,-,ENSGALG00000042137,ETS,ENSGALP00000057437;ENSGALP00000053642;,419832,419832
Gallus_gallus,-,ENSGALG00000003862,LRRFIP,ENSGALP00000006137;,-,428996
Gallus_gallus,-,ENSGALG00000016927,zf-C2H2,ENSGALP00000027313;,418818,418818
Gallus_gallus,-,ENSGALG00000045666,bHLH,ENSGALP00000059542;,100857648,100857648
Gallus_gallus,-,ENSGALG00000031824,TF_bZIP,ENSGALP00000053910;,107050016,107050016
Gallus_gallus,-,ENSGALG00000035943,Homeobox,ENSGALP00000049767;ENSGALP00000050422;,-,107056377
Gallus_gallus,-,ENSGALG00000027147,PC4,ENSGALP00000040729;,771551,771551
Gallus_gallus,-,ENSGALG00000045343,Homeobox,ENSGALP00000063873;,101750658,101750658
Gallus_gallus,-,ENSGALG00000034827,PC4,ENSGALP00000047786;,777191,777191
Gallus_gallus,-,ENSGALG00000002170,THR-like,ENSGALP00000047829;ENSGALP00000003395;ENSGALP00000059302;,419888,419888
Gallus_gallus,-,ENSGALG00000029653,zf-C2HC,ENSGALP00000052819;ENSGALP00000044673;,419599,419599
Gallus_gallus,-,ENSGALG00000014721,MYB,ENSGALP00000048734;ENSGALP00000051403;ENSGALP00000023697;,427146,427146
Gallus_gallus,-,ENSGALG00000014859,ZBTB,ENSGALP00000047163;ENSGALP00000023933;ENSGALP00000023933;,107051935,431588
Gallus_gallus,-,ENSGALG00000039761,zf-C2H2,ENSGALP00000051584;ENSGALP00000044890;ENSGALP00000057819;,107057618,107057618
Gallus_gallus,-,ENSGALG00000028512,HTH,ENSGALP00000012341;,-,423847
Gallus_gallus,-,ENSGALG00000016823,E2F,ENSGALP00000027109;,418739,418739
Gallus_gallus,-,ENSGALG00000034189,Homeobox,ENSGALP00000054288;ENSGALP00000054542;,-,100431103
Gallus_gallus,-,ENSGALG00000030416,Homeobox,ENSGALP00000058570;,100858534,100858534
Gallus_gallus,-,ENSGALG00000034903,zf-C2H2,ENSGALP00000045164;,-,101748312
Gallus_gallus,-,ENSGALG00000033439,zf-C2H2,ENSGALP00000048278;,-,100858709
Gallus_gallus,-,ENSGALG00000042976,HMG,ENSGALP00000055076;ENSGALP00000050664;ENSGALP00000046100;ENSGALP00000051329;ENSGALP00000054668;,100859792,100859792
Gallus_gallus,-,ENSGALG00000035274,ETS,ENSGALP00000045218;,107057519,107057519
Gallus_gallus,-,ENSGALG00000032405,zf-C2H2,ENSGALP00000045536;ENSGALP00000044564;,425100,430731
Gallus_gallus,-,ENSGALG00000029658,zf-C2H2,ENSGALP00000047639;,100858774,100858774
Gallus_gallus,-,ENSGALG00000041244,TF_bZIP,ENSGALP00000053586;,107056640,107056640
Gallus_gallus,-,ENSGALG00000037558,SRF,ENSGALP00000046434;,-,426373
Gallus_gallus,-,ENSGALG00000008653,bHLH,ENSGALP00000014078;,-,423220
Gallus_gallus,-,ENSGALG00000037595,bHLH,ENSGALP00000054238;ENSGALP00000057390;,107049002,425126
Gallus_gallus,-,ENSGALG00000005613,Homeobox,ENSGALP00000008994;,423756,423756
Gallus_gallus,-,ENSGALG00000008988,MYB,ENSGALP00000014603;,424554,424554
Gallus_gallus,-,ENSGALG00000028415,bHLH,ENSGALP00000042261;,424829,424829
Gallus_gallus,-,ENSGALG00000042716,T-box,ENSGALP00000050784;,100858059,100858059
Gallus_gallus,-,ENSGALG00000009063,bHLH,ENSGALP00000014735;,422384,422384
Gallus_gallus,-,ENSGALG00000005661,zf-C2H2,ENSGALP00000009069;,-,101748352
Gallus_gallus,-,ENSGALG00000032656,HMG,ENSGALP00000054556;,-,395230
Gallus_gallus,-,ENSGALG00000001035,THR-like,ENSGALP00000001531;,431047,431047
Gallus_gallus,-,ENSGALG00000028367,zf-C2H2,ENSGALP00000043811;ENSGALP00000055458;ENSGALP00000047827;ENSGALP00000042629;,100858673,100858673
Gallus_gallus,-,ENSGALG00000005975,Others,-,-,428956
Gallus_gallus,-,ENSGALG00000006805,Others,-,424883,424883
Gallus_gallus,-,ENSGALG00000008053,Others,-,423174,423174
Gallus_gallus,-,ENSGALG00000014643,Others,-,425067,425067
Gallus_gallus,-,ENSGALG00000037723,Others,-,415593,415593
Gallus_gallus,ADNP,ENSGALG00000007989,Homeobox,ENSGALP00000053515;ENSGALP00000012954;ENSGALP00000044544;,419350,419350
Gallus_gallus,ADNP2,ENSGALG00000035669,Others,-,420805,420805
Gallus_gallus,AEBP2,ENSGALG00000038026,zf-C2H2,ENSGALP00000054126;,-,418184
Gallus_gallus,AFF1,ENSGALG00000043935,AF-4,ENSGALP00000059945;,422590,422590
Gallus_gallus,AFF2,ENSGALG00000009168,AF-4,ENSGALP00000014918;,-,422394
Gallus_gallus,AFF3,ENSGALG00000031502,AF-4,ENSGALP00000056388;ENSGALP00000046560;,-,418705
Gallus_gallus,AFF4,ENSGALG00000030147,AF-4,ENSGALP00000058095;ENSGALP00000057578;,416337,416337
Gallus_gallus,AHCTF1,ENSGALG00000010630,Others,-,421484,421484
Gallus_gallus,AHR,ENSGALG00000010836,bHLH,ENSGALP00000017595;ENSGALP00000047347;,373907,373907
Gallus_gallus,AHR2,ENSGALG00000023742,bHLH,ENSGALP00000008817;,424033,424033
Gallus_gallus,AHRR,ENSGALG00000013402,bHLH,ENSGALP00000021819;,420989,420989
Gallus_gallus,ALX1,ENSGALG00000027213,Homeobox,ENSGALP00000041112;,427871,427871
Gallus_gallus,ALX3,ENSGALG00000025867,Homeobox,ENSGALP00000041364;,100859561,100859561
Gallus_gallus,ALX4,ENSGALG00000032584,Homeobox,ENSGALP00000050037;,373976,373976
Gallus_gallus,AR,ENSGALG00000030879,ESR-like,ENSGALP00000046062;,422165,422165
Gallus_gallus,ARID1B,ENSGALG00000013683,ARID,ENSGALP00000022208;,-,421650
Gallus_gallus,ARID2,ENSGALG00000033074,ARID,ENSGALP00000053887;ENSGALP00000046944;,417804,417804
Gallus_gallus,ARID3A,ENSGALG00000026231,ARID,ENSGALP00000041111;,100858440,100858440
Gallus_gallus,ARID3B,ENSGALG00000001376,ARID,ENSGALP00000002095;,100859297,100859297
Gallus_gallus,ARID3C,ENSGALG00000005839,ARID,ENSGALP00000009365;ENSGALP00000053113;,-,100858693
Gallus_gallus,ARID4A,ENSGALG00000012037,ARID,ENSGALP00000000021;ENSGALP00000053072;ENSGALP00000049153;,423541,423541
Gallus_gallus,ARID4B,ENSGALG00000034003,ARID,ENSGALP00000054948;ENSGALP00000044059;,425840,425840
Gallus_gallus,ARID5A,ENSGALG00000039206,ARID,ENSGALP00000051487;,101749459,101749459
Gallus_gallus,ARID5B,ENSGALG00000031534,ARID,ENSGALP00000058028;,423661,423661
Gallus_gallus,ARNT,ENSGALG00000000751,bHLH,ENSGALP00000054586;ENSGALP00000028462;ENSGALP00000057274;ENSGALP00000044114;,374026,374026
Gallus_gallus,ARNT2,ENSGALG00000006445,bHLH,ENSGALP00000052707;ENSGALP00000053221;ENSGALP00000010386;,415481,415481
Gallus_gallus,ARNTL,ENSGALG00000005378,bHLH,ENSGALP00000043635;ENSGALP00000008620;,374115,374115
Gallus_gallus,ARNTL2,ENSGALG00000014096,bHLH,ENSGALP00000022780;,373925,373925
Gallus_gallus,ARX,ENSGALG00000042604,Homeobox,ENSGALP00000048796;,107057587,107057587
Gallus_gallus,ARX ,ENSGALG00000046584,Homeobox,ENSGALP00000061364;,-,107057587
Gallus_gallus,ASCL1,ENSGALG00000037082,bHLH,ENSGALP00000047577;,386573,386573
Gallus_gallus,ASCL3,ENSGALG00000036725,bHLH,ENSGALP00000050800;,107053378,107053378
Gallus_gallus,ASCL4,ENSGALG00000019304,bHLH,ENSGALP00000029937;,-,427912
Gallus_gallus,ATF2,ENSGALG00000009287,TF_bZIP,ENSGALP00000047984;ENSGALP00000032623;,395727,395727
Gallus_gallus,ATF3,ENSGALG00000025887,TF_bZIP,ENSGALP00000043167;,421369,421369
