"Chick_ENSEMBL","Chick_Entrezid","Human_Entrezid","Symbol","TF_Status"
"ENSGALG00000000003",426934,56666,"PANX2","No"
"ENSGALG00000000011",NA,80007,"C10orf88","No"
"ENSGALG00000000038",431235,440387,"CTRB2","No"
"ENSGALG00000000044",NA,117166,"WFIKKN1","No"
"ENSGALG00000000048",776719,NA,NA,"No"
"ENSGALG00000000055",425210,8649,"LAMTOR3","No"
"ENSGALG00000000059",431043,10381,"TUBB3","No"
"ENSGALG00000000067",425255,6697,"SPR","No"
"ENSGALG00000000071",101750305,NA,NA,"No"
"ENSGALG00000000081",417039,NA,"IL4I1","No"
"ENSGALG00000000086",421147,10440,"TIMM17B","No"
"ENSGALG00000000091",419028,92105,"INTS4","No"
"ENSGALG00000000094",421148,51094,"ADIPOR1","No"
"ENSGALG00000000102",421149,29089,"UBE2T","No"
"ENSGALG00000000104",395100,NA,NA,"No"
"ENSGALG00000000106",421150,55791,"LRIF1","No"
"ENSGALG00000000107",417040,NA,"TRIM7.1","No"
"ENSGALG00000000109",769005,125061,"AFMID","No"
"ENSGALG00000000112",396214,5354,"PLP1","No"
"ENSGALG00000000115",395192,57152,"HEP21","No"
"ENSGALG00000000120",395177,27302,"BMP10","No"
"ENSGALG00000000122",417044,10399,"GNB2L1","No"
"ENSGALG00000000129",425450,22980,"TCF25","Transcription Factor"
"ENSGALG00000000136",693259,NA,"BLEC2","No"
"ENSGALG00000000137",396180,6635,"SNRPE","No"
"ENSGALG00000000141",693256,NA,"BLB1","No"
"ENSGALG00000000142",421152,10390,"CEPT1","No"
"ENSGALG00000000146",425418,6830,"SUPT6H","Transcription Factor"
"ENSGALG00000000150",425468,6133,"RPL9","No"
"ENSGALG00000000151",415600,171019,"ADAMTS19","No"
"ENSGALG00000000154",421153,79961,"DENND2D","No"
"ENSGALG00000000156",417049,6046,"BRD2","No"
"ENSGALG00000000158",417050,3108,"DMA","No"
"ENSGALG00000000161",415601,51015,"ISOC1","No"
"ENSGALG00000000162",106182184,NA,"DMB1","No"
"ENSGALG00000000164",421154,4608,"MYBPHL","No"
"ENSGALG00000000168",374212,134,"ADORA1","No"
"ENSGALG00000000172",374004,4656,"MYOG","Transcription Factor"
"ENSGALG00000000184",769933,28965,"SLC27A6","No"
"ENSGALG00000000186",425491,23787,"MTCH1","No"
"ENSGALG00000000189",415602,64848,"YTHDC2","No"
"ENSGALG00000000195",419520,9962,"SLC23A2","No"
"ENSGALG00000000201",419939,9842,"PLEKHM1","No"
"ENSGALG00000000208",415603,4163,"MCC","No"
"ENSGALG00000000209",396452,5621,"PRNP","No"
"ENSGALG00000000215",769972,167227,"DCP2","No"
"ENSGALG00000000217",421155,8497,"PPFIA4","No"
"ENSGALG00000000218",770061,6728,"SRP19","No"
"ENSGALG00000000220",415607,324,"APC","No"
"ENSGALG00000000223",421156,92703,"TMEM183A","No"
"ENSGALG00000000225",395415,NA,"MGAT4C","No"
"ENSGALG00000000226",421157,252839,"TMEM9","No"
"ENSGALG00000000227",395155,1808,"DPYSL2","No"
"ENSGALG00000000233",425673,6668,"SP2","Transcription Factor"
"ENSGALG00000000234",415608,64097,"EPB41L4A","No"
"ENSGALG00000000235",419523,5520,"PPP2R2A","No"
"ENSGALG00000000241",769322,134429,"STARD4","No"
"ENSGALG00000000242",395176,64641,"EBF2","Transcription Factor"
"ENSGALG00000000243",395228,201299,"RDM1","No"
"ENSGALG00000000244",723973,814,"CAMK4","No"
"ENSGALG00000000247",415609,134430,"WDR36","No"
"ENSGALG00000000249",378781,2689,"GH","No"
"ENSGALG00000000251",419940,974,"CD79B","No"
"ENSGALG00000000253",415610,91137,"SLC25A46","No"
"ENSGALG00000000255",415611,4124,"MAN2A1","No"
"ENSGALG00000000259",430115,9491,"PSMF1","No"
"ENSGALG00000000264",415612,9867,"PJA2","No"
"ENSGALG00000000273",415614,2241,"FER","No"
"ENSGALG00000000274",771308,NA,NA,"No"
"ENSGALG00000000275",419526,54793,"KCTD9","No"
"ENSGALG00000000276",415615,64839,"FBXL17","No"
"ENSGALG00000000277",770134,2796,"GnRH-I","No"
"ENSGALG00000000280",396100,1946,"EFNA5","No"
"ENSGALG00000000284",396230,3214,"HOXB4","Transcription Factor"
"ENSGALG00000000293",100858010,5858,"PZP","No"
"ENSGALG00000000295",771410,91156,"IGFN1","No"
"ENSGALG00000000296",426230,22990,"PCNX1","No"
"ENSGALG00000000299",421158,5317,"PKP1","No"
"ENSGALG00000000302",396433,7139,"TNNT2","No"
"ENSGALG00000000309",421160,NA,NA,"No"
"ENSGALG00000000311",419527,80005,"DOCK5","No"
"ENSGALG00000000313",421161,7135,"TNNI1","No"
"ENSGALG00000000314",NA,4747,"NEFL","No"
"ENSGALG00000000317",396206,NA,"NEFM","No"
"ENSGALG00000000318",396176,1465,"CSRP1","No"
"ENSGALG00000000329",419803,10768,"AHCYL1","No"
"ENSGALG00000000336",NA,4660,"PPP1R12B","No"
"ENSGALG00000000337",NA,404217,"CTXN1","No"
"ENSGALG00000000341",425968,NA,"KRTAP10-4","No"
"ENSGALG00000000349",428274,5705,"PSMC5","No"
"ENSGALG00000000352",420053,10469,"TIMM44","No"
"ENSGALG00000000357",419529,10863,"ADAM28","No"
"ENSGALG00000000364",428201,6781,"STC1","No"
"ENSGALG00000000365",396037,NA,"NKX2-6","Transcription Factor"
"ENSGALG00000000367",419945,40,"ASIC2","No"
"ENSGALG00000000371",374218,104909134,"CRHR1","No"
"ENSGALG00000000374",421165,6051,"RNPEP","No"
"ENSGALG00000000377",420054,4670,"HNRNPM","No"
"ENSGALG00000000378",419530,51312,"SLC25A37","No"
"ENSGALG00000000379",374209,3690,"ITGB3","No"
"ENSGALG00000000390",419531,9583,"ENTPD4","No"
"ENSGALG00000000394",419805,388662,"SLC6A17","No"
"ENSGALG00000000396",419948,55798,"METTL2B","No"
"ENSGALG00000000397",421167,55705,"IPO9","No"
"ENSGALG00000000399",430912,285193,"DUSP28","No"
"ENSGALG00000000400",419806,3749,"KCNC4","No"
"ENSGALG00000000401",100859595,64783,"RBM15","No"
"ENSGALG00000000402",419533,4017,"LOXL2","No"
"ENSGALG00000000404",430917,9318,"COPS2","No"
"ENSGALG00000000407",420055,8139,"GAN","No"
"ENSGALG00000000409",419535,91782,"CHMP7","No"
"ENSGALG00000000410",419949,11011,"TLK2","No"
"ENSGALG00000000417",419809,9122,"SLC16A4","No"
"ENSGALG00000000419",419811,10542,"LAMTOR5","No"
"ENSGALG00000000424",414829,123920,"CMTM3","No"
"ENSGALG00000000430",420056,56928,"SPPL2C","No"
"ENSGALG00000000433",100857247,NA,NA,"No"
"ENSGALG00000000436",421170,5877,"RABIF","No"
"ENSGALG00000000437",395926,NA,"PGA3","No"
"ENSGALG00000000438",426644,79956,"ERMP1","No"
"ENSGALG00000000441",395116,3744,"KCNA10","No"
"ENSGALG00000000442",395117,3737,"KCNA2","No"
"ENSGALG00000000451",769589,644890,"MEIG1","No"
"ENSGALG00000000452",373904,NA,"TNFRSF10B","No"
"ENSGALG00000000458",428320,360200,"TMPRSS9","No"
"ENSGALG00000000461",419950,9902,"MRC2","No"
"ENSGALG00000000466",396460,3932,"LCK","No"
"ENSGALG00000000469",428203,148,"ADRA1A","No"
"ENSGALG00000000470",396222,84823,"LMNA","No"
"ENSGALG00000000474",373936,25873,"RPL36","No"
